EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023hvic|2023-04-22 06:42:10.244806|-20.664368|-43.83419|0.0|JROBERTO||USP|usp2023hvic|mR|2.273706304|jroberto|Conselheiro Lafaiete/MG|earthquake|6|POINT (-43.83419 -20.664368)
usp2023htdq|2023-04-21 02:10:37.871055|-20.051987|-48.798439|0.0|JROBERTO||USP|usp2023htdq|mR|2.715678843|jroberto|Rg. da Divisa Frutal/Planura-MG|earthquake|2|POINT (-48.798439 -20.051987)
usp2023hjlv|2023-04-15 18:56:32.288275|-18.41995|-41.184826|0.0|JROBERTO||USP|usp2023hjlv|mR|1.724932572|jroberto|Tipiti-Ataleia/MG|earthquake|18|POINT (-41.184826 -18.41995)
usp2023hhck|2023-04-14 11:54:47.702208|-17.606817|-55.951641|0.0|JROBERTO||USP|usp2023hhck|mR|3.082548594|jroberto|Nova Esperança/MS|earthquake|11|POINT (-55.951641 -17.606817)
usp2023hena|2023-04-13 01:52:23.742553|-8.956378|-40.274712|0.0|JROBERTO||USP|usp2023hena|mR|2.203233768|jroberto|Lagoa Grande/PE|earthquake|1|POINT (-40.274712 -8.956378)
usp2023gzjh|2023-04-10 06:18:30.104806|-19.433342|-44.307556|0.0|JROBERTO||USP|usp2023gzjh|mR|2.079030533|jroberto|Sete Lagoas/MG|earthquake|6|POINT (-44.307556 -19.433342)
usp2023gwvk|2023-04-08 21:01:37.828320|-20.975578|-48.592533|0.0|JROBERTO||USP|usp2023gwvk|mR|2.366392112|jroberto|MonteA.Paulista/rg.zona rural|earthquake|21|POINT (-48.592533 -20.975578)
usp2023gstj|2023-04-06 15:27:03.872296|-3.826872|-40.580616|0.0|JROBERTO||USP|usp2023gstj|mR|1.870711561|jroberto|Carire/CE|earthquake|15|POINT (-40.580616 -3.826872)
usp2023grlf|2023-04-05 22:11:04.356379|-21.314371|-48.536694|0.0|BRUNO||USP|usp2023grlf|mR|2.092094559|bruno|Monte Alto/SP|earthquake|22|POINT (-48.536694 -21.314371)
usp2023ggbh|2023-03-30 16:40:58.033820|-8.816044|-36.415493|0.0|JROBERTO||USP|usp2023ggbh|mR|2.348693549|jroberto|Sao Joao/PE|earthquake|16|POINT (-36.415493 -8.816044)
usp2023fujo|2023-03-24 07:13:37.997019|-11.456184|-73.249474|32.09793472|JROBERTO||USP|usp2023fujo|mb|3.742331656|jroberto|Central Peru|earthquake|7|POINT (-73.249474 -11.456184)
usp2023frfm|2023-03-22 13:45:20.257689|-11.119215|-71.588913|10.0|JROBERTO||USP|usp2023frfm|mb|4.217680164|jroberto|Central Peru|earthquake|13|POINT (-71.588913 -11.119215)
usp2023fkun|2023-03-19 01:23:37.671353|-3.439358|-44.362289|0.0|JROBERTO||USP|usp2023fkun|mR|2.551177915|jroberto|Itapecuru Mirim/MA|earthquake|1|POINT (-44.362289 -3.439358)
usp2023fjdo|2023-03-18 03:41:49.452147|-10.102493|-73.101463|56.0|JROBERTO||USP|usp2023fjdo|mb|4.005186317|jroberto|Central Peru|earthquake|3|POINT (-73.101463 -10.102493)
usp2023fcrv|2023-03-14 14:57:18.248184|-21.063101|-48.665047|0.0|JROBERTO||USP|usp2023fcrv|mR|2.224144868|jroberto|Pirangi/SP|earthquake|14|POINT (-48.665047 -21.063101)
usp2023fcbq|2023-03-14 06:46:21.151804|-21.307751|-48.485638|0.0|BRUNO||USP|usp2023fcbq|mR|2.192586077|bruno|Monte Alto/SP|earthquake|6|POINT (-48.485638 -21.307751)
usp2023evko|2023-03-10 15:20:29.857278|-10.790692|-39.425152|0.0|JROBERTO||USP|usp2023evko|mR|2.200146524|jroberto|Nordestina/BA|earthquake|15|POINT (-39.425152 -10.790692)
usp2023evjz|2023-03-10 15:02:54.017941|-9.703528|-36.80632|0.0|JROBERTO||USP|usp2023evjz|MLv|2.25819657|jroberto|Craibas/AL|earthquake|15|POINT (-36.80632 -9.703528)
