event,label_cat,mag,lat,lon,pred,prob_nat
20200424184617,0,0.07056111716,-27.2955,-52.0366,1,0.247
20200424184421,0,0.1002866505,-27.2955,-52.0366,0,0.984
20200424183741,0,-0.01914909642,-27.29548135,-52.03660082,0,0.961
20200424183700,0,-0.2783645424,-27.2955,-52.0366,0,0.977
20200424165529,0,0.007836225321,-27.16686333,-52.14722067,1,0.464
20200424165253,0,-0.08182289807,-27.13510355,-52.15674768,0,0.764
20200424165054,0,-0.06683884946,-27.25756902,-52.04000889,0,0.887
20200424164937,0,-0.428081617,-27.21972263,-52.13885229,1,0.096
20200424164850,0,-0.594640596,-27.21561718,-52.14516008,1,0.166
20200424164709,0,-0.2398812942,-27.22075,-52.13458881,0,0.576
20200424164538,0,-0.2577358369,-27.21298281,-52.13473507,1,0.027
20200424164418,0,-0.06551091849,-27.17414854,-52.14867293,1,0.465
20200424164351,0,0.04431989782,-27.17167945,-52.14148453,0,0.808
20200424121109,0,0.2481122825,-27.25431282,-52.1236479,0,0.692
20200424120940,0,-0.4106354027,-27.28567759,-52.12111935,1,0.118
20200424115614,0,-0.2153797671,-27.23950987,-52.13590971,1,0.017
20200424115504,0,-0.3557756613,-27.24444195,-52.11662139,1,0.488
20200424114549,0,0.2018273304,-27.12774734,-52.15860048,0,0.713
20200424113812,0,0.1323146032,-27.21785408,-52.1372638,0,0.664
20200424113532,0,-0.5031947294,-27.21142765,-52.1339583,1,0.292
20200424113446,0,-0.2219339245,-27.10778227,-52.20380855,0,0.868
20200424113355,0,-0.06905182595,-27.2160498,-52.14301289,1,0.041
20200424113127,0,-0.1397814705,-27.19838506,-52.14315557,0,0.94
20200424113029,0,-0.4097745534,-27.22126672,-52.14378117,0,0.856
20200424112937,0,0.2309100767,-27.12014056,-52.22908117,0,0.571
20200424112827,0,-7.142188326e-05,-27.24953268,-52.08864632,0,0.73
20200424104349,0,-0.1518908827,-27.21611762,-52.13654973,1,0.307
20200424104347,0,-0.1081113852,-27.19989749,-52.13436364,1,0.324
20200424104322,0,0.4072382799,-27.19302302,-52.13496869,1,0.382
20200424104228,0,-0.1901540642,-27.22196423,-52.13436418,0,0.901
20200423181824,1,0.8877081739,-27.21056973,-52.04927259,1,0.028
20200423181814,1,0.6764857826,-27.20470435,-52.056317,1,0.032
20200423180818,1,0.09693672387,-27.19866049,-52.03990677,0,0.605
20200416224113,0,0.6957168003,-27.46292272,-52.23865954,0,0.974
20200413163000,1,2.117050384,-27.85331345,-51.55859756,1,0.239
20200413163000,0,2.117050384,-27.85331345,-51.55859756,1,0.239
20200407191813,1,1.172047039,-27.19665707,-52.0411124,0,0.894
20200407184511,0,-0.3126390987,-27.18368958,-52.08772916,0,0.847
20200405235537,0,-0.05218333426,-27.11582726,-52.15379006,0,0.968
